,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601456.SH,18,16.41,17.21,16.18,17.0,16.43,0.57,3.4693,1399865.52,2338486.12
1,601456.SH,17,16.55,16.66,16.1,16.43,16.85,-0.42,-2.4926,934447.6,1530278.685
2,601456.SH,16,17.23,17.75,16.69,16.85,17.38,-0.53,-3.0495,1254204.48,2147242.558
3,601456.SH,15,16.94,17.73,16.6,17.38,17.13,0.25,1.4594,1652258.12,2831671.262
4,601456.SH,14,16.55,18.29,16.41,17.13,16.72,0.41,2.4522,2312434.16,3972545.855
5,601456.SH,13,17.0,17.24,16.41,16.72,17.45,-0.73,-4.1834,2559630.47,4297242.567
6,601456.SH,12,15.6,17.45,15.41,17.45,15.86,1.59,10.0252,3061811.8,4967329.281
7,601456.SH,11,15.86,15.86,15.86,15.86,14.42,1.44,9.9861,338608.35,537032.843
8,601456.SH,10,14.42,14.42,14.42,14.42,13.11,1.31,9.9924,25389.63,36611.846
9,601456.SH,9,13.11,13.11,13.11,13.11,11.92,1.19,9.9832,30055.88,39403.259
10,601456.SH,8,11.92,11.92,11.92,11.92,10.84,1.08,9.9631,23013.18,27431.711
11,601456.SH,7,10.84,10.84,10.84,10.84,9.85,0.99,10.0508,9737.91,10555.894
12,601456.SH,6,9.85,9.85,9.85,9.85,8.95,0.9,10.0559,13556.64,13353.29
13,601456.SH,5,8.95,8.95,8.95,8.95,8.14,0.81,9.9509,8034.33,7190.725
14,601456.SH,4,8.14,8.14,8.14,8.14,7.4,0.74,10.0,4192.95,3413.061
15,601456.SH,3,7.4,7.4,7.4,7.4,6.73,0.67,9.9554,5285.28,3911.107
16,601456.SH,2,6.73,6.73,6.73,6.73,6.12,0.61,9.9673,4384.51,2950.775
17,601456.SH,1,5.1,6.12,5.1,6.12,4.25,1.87,44.0,14492.55,8822.855
