,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601375.SH,20200825,5.86,5.94,5.79,5.81,5.86,-0.05,-0.8532,236062.81,138311.776
1,601375.SH,20200824,5.93,5.97,5.81,5.86,5.94,-0.08,-1.3468,270438.31,158905.721
2,601375.SH,20200821,5.9,5.98,5.86,5.94,5.87,0.07,1.1925,248639.59,147130.6
3,601375.SH,20200820,5.87,5.96,5.83,5.87,5.92,-0.05,-0.8446,271207.17,159422.436
4,601375.SH,20200819,6.03,6.08,5.92,5.92,6.06,-0.14,-2.3102,382211.41,229159.037
5,601375.SH,20200818,6.18,6.18,5.98,6.06,6.1,-0.04,-0.6557,506224.57,307373.093
6,601375.SH,20200817,6.01,6.25,5.95,6.1,5.9,0.2,3.3898,816937.2,498118.592
7,601375.SH,20200814,5.78,5.91,5.73,5.9,5.84,0.06,1.0274,301219.04,175818.296
8,601375.SH,20200813,5.76,5.88,5.73,5.84,5.76,0.08,1.3889,301675.84,174884.292
9,601375.SH,20200812,5.72,5.81,5.6,5.76,5.76,0.0,0.0,354247.96,202456.519
10,601375.SH,20200811,5.92,6.03,5.75,5.76,5.92,-0.16,-2.7027,456268.78,269615.624
11,601375.SH,20200810,5.85,6.03,5.82,5.92,5.92,0.0,0.0,465310.41,276192.173
12,601375.SH,20200807,5.96,6.04,5.77,5.92,6.11,-0.19,-3.1097,690279.06,406916.289
13,601375.SH,20200806,6.01,6.19,5.88,6.11,6.03,0.08,1.3267,743634.77,447472.331
14,601375.SH,20200805,5.9,6.09,5.86,6.03,6.03,0.0,0.0,633845.66,379067.583
15,601375.SH,20200804,6.6,6.6,6.01,6.03,6.28,-0.25,-3.9809,1413568.96,884682.985
16,601375.SH,20200803,6.09,6.28,6.09,6.28,5.71,0.57,9.9825,554429.08,344630.424
17,601375.SH,20200731,5.6,5.89,5.59,5.71,5.62,0.09,1.6014,548906.38,315804.978
18,601375.SH,20200730,5.73,5.77,5.62,5.62,5.73,-0.11,-1.9197,395865.93,224696.418
19,601375.SH,20200729,5.51,5.75,5.49,5.73,5.55,0.18,3.2432,470990.43,267055.031
20,601375.SH,20200728,5.59,5.65,5.47,5.55,5.56,-0.01,-0.1799,331751.22,183978.957
21,601375.SH,20200727,5.61,5.64,5.43,5.56,5.57,-0.01,-0.1795,367401.59,203404.669
22,601375.SH,20200724,5.97,6.02,5.5,5.57,6.03,-0.46,-7.6285,779828.39,446286.576
23,601375.SH,20200723,5.88,6.09,5.73,6.03,5.95,0.08,1.3445,746912.92,441461.728
24,601375.SH,20200722,5.96,6.19,5.89,5.95,5.94,0.01,0.1684,756102.51,457829.694
25,601375.SH,20200721,6.06,6.18,5.89,5.94,6.03,-0.09,-1.4925,693969.61,417224.18
26,601375.SH,20200720,5.72,6.05,5.67,6.03,5.61,0.42,7.4866,923496.49,542779.35
27,601375.SH,20200717,6.0,6.06,5.48,5.61,5.89,-0.28,-4.7538,953129.74,540920.562
28,601375.SH,20200716,5.98,6.35,5.87,5.89,6.0,-0.11,-1.8333,1166633.02,714464.513
29,601375.SH,20200715,6.39,6.44,5.96,6.0,6.35,-0.35,-5.5118,866091.22,535757.818
30,601375.SH,20200714,6.3,6.4,6.15,6.35,6.39,-0.04,-0.626,1038031.28,653028.092
31,601375.SH,20200713,6.2,6.59,6.18,6.39,6.28,0.11,1.7516,1499055.46,959870.349
32,601375.SH,20200710,6.06,6.58,5.99,6.28,6.13,0.15,2.447,1736525.43,1095954.28
