,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600864.SH,20200825,7.4,7.46,7.28,7.31,7.37,-0.06,-0.8141,210901.75,155120.485
1,600864.SH,20200824,7.5,7.5,7.35,7.37,7.56,-0.19,-2.5132,252752.09,187248.789
2,600864.SH,20200821,7.42,7.58,7.31,7.56,7.36,0.2,2.7174,323569.61,241122.484
3,600864.SH,20200820,7.49,7.53,7.34,7.36,7.54,-0.18,-2.3873,256495.01,190288.681
4,600864.SH,20200819,7.67,7.74,7.5,7.54,7.68,-0.14,-1.8229,364946.44,278457.617
5,600864.SH,20200818,7.75,7.82,7.64,7.68,7.77,-0.09,-1.1583,386018.49,298246.036
6,600864.SH,20200817,7.58,7.94,7.57,7.77,7.49,0.28,3.7383,758140.15,586188.926
7,600864.SH,20200814,7.28,7.49,7.16,7.49,7.28,0.21,2.8846,309246.5,226806.503
8,600864.SH,20200813,7.35,7.45,7.25,7.32,7.33,-0.01,-0.1364,281825.22,206846.679
9,600864.SH,20200812,7.32,7.47,7.15,7.33,7.34,-0.01,-0.1362,316855.65,231693.277
10,600864.SH,20200811,7.55,7.68,7.3,7.34,7.58,-0.24,-3.1662,420428.04,314924.544
11,600864.SH,20200810,7.31,7.74,7.3,7.58,7.39,0.19,2.571,546304.05,412878.697
12,600864.SH,20200807,7.64,7.64,7.27,7.39,7.71,-0.32,-4.1505,485275.84,361322.517
13,600864.SH,20200806,7.57,7.74,7.36,7.71,7.57,0.14,1.8494,503182.11,379049.553
14,600864.SH,20200805,7.45,7.68,7.37,7.57,7.49,0.08,1.0681,390187.57,293641.939
15,600864.SH,20200804,7.6,7.73,7.45,7.49,7.59,-0.1,-1.3175,413694.95,313011.846
16,600864.SH,20200803,7.5,7.59,7.39,7.59,7.41,0.18,2.4291,478033.57,358115.181
17,600864.SH,20200731,7.12,7.58,7.12,7.41,7.14,0.27,3.7815,626852.79,463860.752
18,600864.SH,20200730,7.22,7.3,7.11,7.14,7.22,-0.08,-1.108,333583.01,239427.002
19,600864.SH,20200729,6.92,7.25,6.86,7.22,6.93,0.29,4.1847,439877.1,313910.469
20,600864.SH,20200728,7.05,7.09,6.84,6.93,6.99,-0.06,-0.8584,297568.89,206920.112
21,600864.SH,20200727,7.08,7.15,6.84,6.99,7.06,-0.07,-0.9915,347194.17,242396.808
22,600864.SH,20200724,7.49,7.56,6.97,7.06,7.55,-0.49,-6.4901,469976.96,340881.794
23,600864.SH,20200723,7.45,7.63,7.25,7.55,7.55,0.0,0.0,471364.27,350756.456
24,600864.SH,20200722,7.52,7.86,7.47,7.55,7.54,0.01,0.1326,589974.62,452243.605
25,600864.SH,20200721,7.73,7.73,7.41,7.54,7.72,-0.18,-2.3316,476595.14,359858.577
26,600864.SH,20200720,7.45,7.76,7.35,7.72,7.23,0.49,6.7773,697748.2,528838.363
27,600864.SH,20200717,7.54,7.59,7.13,7.23,7.44,-0.21,-2.8226,604622.88,442901.692
28,600864.SH,20200716,7.76,7.97,7.41,7.44,7.71,-0.27,-3.5019,796428.97,619567.44
29,600864.SH,20200715,8.13,8.22,7.63,7.71,8.11,-0.4,-4.9322,770415.79,607676.96
30,600864.SH,20200714,8.25,8.26,7.86,8.11,8.26,-0.15,-1.816,814574.36,656205.046
31,600864.SH,20200713,8.1,8.69,8.1,8.26,8.09,0.17,2.1014,1008847.67,837049.439
32,600864.SH,20200710,7.79,8.36,7.74,8.09,7.93,0.16,2.0177,1181685.09,961786.719
33,600864.SH,20200709,7.85,8.12,7.73,7.93,8.15,-0.22,-2.6994,1242320.71,981645.89
34,600864.SH,20200708,7.7,8.47,7.63,8.15,7.7,0.45,5.8442,1358662.3,1081951.398
35,600864.SH,20200707,7.99,8.0,7.53,7.7,8.01,-0.31,-3.8702,1297362.38,1006997.14
36,600864.SH,20200706,7.58,8.01,7.38,8.01,7.28,0.73,10.0275,1463346.95,1133422.228
37,600864.SH,20200703,6.79,7.28,6.66,7.28,6.62,0.66,9.9698,1326418.65,916839.463
38,600864.SH,20200702,6.04,6.62,6.02,6.62,6.02,0.6,9.9668,903329.73,572245.28
39,600864.SH,20200701,5.97,6.05,5.92,6.02,6.01,0.01,0.1664,296522.7,177349.611
40,600864.SH,20200630,5.97,6.1,5.85,6.01,5.95,0.06,1.0084,331176.03,197563.481
41,600864.SH,20200629,6.06,6.1,5.88,5.95,6.11,-0.16,-2.6187,300364.63,178935.303
42,600864.SH,20200624,6.06,6.16,6.04,6.11,6.08,0.03,0.4934,356885.36,217767.393
43,600864.SH,20200623,6.39,6.39,6.06,6.08,6.6,-0.52,-7.8788,921361.8,569467.336
44,600864.SH,20200622,6.48,6.82,6.46,6.6,6.48,0.12,1.8519,460816.51,307392.997
45,600864.SH,20200619,6.31,6.6,6.3,6.48,6.34,0.14,2.2082,349320.31,225504.084
46,600864.SH,20200618,6.31,6.41,6.27,6.34,6.31,0.03,0.4754,143363.86,90909.006
