,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601066.SH,20200825,53.36,54.39,51.98,52.06,53.59,-1.53,-2.855,435064.9,2311762.909
1,601066.SH,20200824,54.43,54.58,53.25,53.59,53.89,-0.3,-0.5567,249166.39,1339760.017
2,601066.SH,20200821,53.53,54.68,53.3,53.89,53.16,0.73,1.3732,306860.06,1653056.82
3,601066.SH,20200820,55.01,55.1,53.1,53.16,55.85,-2.69,-4.8165,475874.27,2564834.576
4,601066.SH,20200819,55.56,57.47,55.07,55.85,55.56,0.29,0.522,560535.52,3157437.573
5,601066.SH,20200818,55.64,57.28,55.02,55.56,56.18,-0.62,-1.1036,525267.48,2940083.398
6,601066.SH,20200817,55.57,58.38,55.57,56.18,54.35,1.83,3.3671,788130.77,4471116.39
7,601066.SH,20200814,53.55,55.2,53.55,54.35,55.06,-0.71,-1.2895,465008.73,2530169.547
8,601066.SH,20200813,56.0,57.74,54.98,55.06,56.45,-1.39,-2.4624,664640.42,3726307.31
9,601066.SH,20200812,54.05,57.79,52.6,56.45,55.08,1.37,2.4873,907597.57,5010993.58
10,601066.SH,20200811,58.0,59.83,54.69,55.08,59.27,-4.19,-7.0693,1212013.93,6966364.712
11,601066.SH,20200810,52.94,60.14,52.55,59.27,54.67,4.6,8.4141,1397632.39,8139151.534
12,601066.SH,20200807,50.05,58.0,49.69,54.67,52.75,1.92,3.6398,1224547.2,6455535.602
13,601066.SH,20200806,48.54,53.12,47.6,52.75,48.29,4.46,9.2359,889440.59,4492998.198
14,601066.SH,20200805,48.07,48.92,47.42,48.29,48.38,-0.09,-0.186,319751.56,1537523.977
15,601066.SH,20200804,48.9,49.04,48.03,48.38,49.0,-0.62,-1.2653,412229.49,1999157.53
16,601066.SH,20200803,48.86,49.26,47.76,49.0,48.63,0.37,0.7608,505434.43,2456183.593
17,601066.SH,20200731,48.23,49.78,47.74,48.63,48.54,0.09,0.1854,510606.39,2494854.791
18,601066.SH,20200730,49.48,49.48,48.28,48.54,49.85,-1.31,-2.6279,498418.15,2430945.404
19,601066.SH,20200729,46.74,50.0,46.51,49.85,46.2,3.65,7.9004,734835.47,3578094.979
20,601066.SH,20200728,46.77,46.86,45.78,46.2,46.26,-0.06,-0.1297,230884.02,1067442.964
21,601066.SH,20200727,45.82,46.68,44.92,46.26,45.83,0.43,0.9383,342596.17,1569508.957
22,601066.SH,20200724,48.49,48.65,44.75,45.83,47.75,-1.92,-4.0209,554848.01,2616762.284
23,601066.SH,20200723,47.01,48.27,46.5,47.75,48.17,-0.42,-0.8719,366861.01,1740420.284
24,601066.SH,20200722,48.0,49.68,47.69,48.17,47.92,0.25,0.5217,520498.14,2535214.248
25,601066.SH,20200721,48.64,49.3,47.68,47.92,49.32,-1.4,-2.8386,409591.64,1981451.421
26,601066.SH,20200720,49.4,51.5,48.71,49.32,47.2,2.12,4.4915,575339.13,2867605.848
27,601066.SH,20200717,47.31,49.19,45.6,47.2,46.51,0.69,1.4836,560493.15,2662940.162
28,601066.SH,20200716,50.5,52.31,46.28,46.51,51.42,-4.91,-9.5488,641738.98,3168621.133
29,601066.SH,20200715,51.5,52.99,50.45,51.42,51.29,0.13,0.2535,663290.47,3430173.722
30,601066.SH,20200714,50.56,52.33,49.94,51.29,51.3,-0.01,-0.0195,546303.96,2798334.048
31,601066.SH,20200713,50.2,52.77,49.41,51.3,50.5,0.8,1.5842,656017.39,3359243.567
32,601066.SH,20200710,51.64,52.65,50.24,50.5,53.3,-2.8,-5.2533,680461.05,3497806.535
33,601066.SH,20200709,52.68,55.9,51.23,53.3,53.82,-0.52,-0.9662,824359.89,4417843.433
34,601066.SH,20200708,49.01,55.18,48.99,53.82,50.16,3.66,7.2967,992384.93,5201202.777
35,601066.SH,20200707,52.41,52.64,48.5,50.16,52.4,-2.24,-4.2748,1195815.56,6089836.007
36,601066.SH,20200706,48.84,52.47,48.18,52.4,47.7,4.7,9.8532,1070290.94,5506300.949
37,601066.SH,20200703,47.5,47.7,44.75,47.7,43.36,4.34,10.0092,1145151.68,5339782.957
38,601066.SH,20200702,39.39,43.36,39.2,43.36,39.42,3.94,9.9949,825565.79,3472601.952
39,601066.SH,20200701,39.37,40.05,38.72,39.42,39.38,0.04,0.1016,520106.77,2049073.078
40,601066.SH,20200630,37.69,40.62,37.28,39.38,37.47,1.91,5.0974,600742.38,2326001.342
41,601066.SH,20200629,37.7,38.36,37.0,37.7,37.95,-0.25,-0.6588,592332.08,2236497.832
42,601066.SH,20200624,38.88,38.99,37.37,37.95,38.37,-0.42,-1.0946,473543.2,1802271.731
43,601066.SH,20200623,37.69,38.56,37.13,38.37,37.73,0.64,1.6963,702486.9,2671000.39
44,601066.SH,20200622,37.07,40.0,36.89,37.73,37.07,0.66,1.7804,1186366.97,4516741.856
45,601066.SH,20200619,33.68,37.07,33.58,37.07,33.7,3.37,10.0,1139406.6,4084210.28
46,601066.SH,20200618,33.47,34.2,33.19,33.7,33.4,0.3,0.8982,255789.26,862307.863
47,601066.SH,20200617,33.56,33.65,33.16,33.4,33.56,-0.16,-0.4768,166384.35,555281.606
48,601066.SH,20200616,33.56,33.74,33.18,33.56,33.01,0.55,1.6662,198253.83,662699.533
49,601066.SH,20200615,33.39,34.27,33.0,33.01,33.04,-0.03,-0.0908,326223.91,1098371.012
50,601066.SH,20200612,32.59,33.45,32.4,33.04,33.41,-0.37,-1.1075,239483.08,790367.699
51,601066.SH,20200611,33.62,34.33,33.33,33.41,33.59,-0.18,-0.5359,275979.09,932645.022
52,601066.SH,20200610,33.75,33.88,33.51,33.59,33.94,-0.35,-1.0312,169571.9,569947.181
53,601066.SH,20200609,33.8,34.4,33.68,33.94,33.73,0.21,0.6226,267240.93,911008.716
54,601066.SH,20200608,34.09,34.11,33.65,33.73,34.04,-0.31,-0.9107,207304.0,701794.94
55,601066.SH,20200605,33.27,34.4,33.01,34.04,33.03,1.01,3.0578,371098.57,1252833.842
56,601066.SH,20200604,33.64,33.7,32.92,33.03,33.28,-0.25,-0.7512,187202.25,621143.693
57,601066.SH,20200603,33.89,34.45,33.2,33.28,33.61,-0.33,-0.9819,311124.99,1054797.935
58,601066.SH,20200602,33.99,34.29,33.51,33.61,33.98,-0.37,-1.0889,273834.69,925292.33
59,601066.SH,20200601,32.99,34.35,32.8,33.98,31.98,2.0,6.2539,480409.21,1610566.482
60,601066.SH,20200529,32.07,32.31,31.8,31.98,32.36,-0.38,-1.1743,149540.6,479080.183
61,601066.SH,20200528,31.83,33.05,31.83,32.36,31.79,0.57,1.793,292686.32,950530.243
62,601066.SH,20200527,32.2,32.4,31.71,31.79,32.3,-0.51,-1.5789,153462.86,491371.865
63,601066.SH,20200526,31.95,32.46,31.86,32.3,31.67,0.63,1.9893,196944.42,633642.085
64,601066.SH,20200525,31.71,32.12,31.5,31.67,31.88,-0.21,-0.6587,165499.03,525430.996
65,601066.SH,20200522,33.33,33.59,31.82,31.88,33.53,-1.65,-4.921,353350.11,1149182.386
66,601066.SH,20200521,34.31,34.52,33.51,33.53,34.29,-0.76,-2.2164,211550.38,718999.847
67,601066.SH,20200520,34.29,34.78,33.92,34.29,34.31,-0.02,-0.0583,222085.65,763395.6
68,601066.SH,20200519,34.58,34.66,34.02,34.31,33.99,0.32,0.9415,234420.72,805130.134
