,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601377.SH,20200825,8.15,8.26,8.07,8.1,8.15,-0.05,-0.6135,692122.73,564410.494
1,601377.SH,20200824,8.23,8.25,8.1,8.15,8.32,-0.17,-2.0433,794475.6,648753.472
2,601377.SH,20200821,8.24,8.41,8.2,8.32,8.21,0.11,1.3398,790955.94,655843.415
3,601377.SH,20200820,8.31,8.36,8.16,8.21,8.41,-0.2,-2.3781,833636.81,687482.654
4,601377.SH,20200819,8.72,8.77,8.45,8.49,8.7,-0.21,-2.4138,1261169.15,1083789.298
5,601377.SH,20200818,8.7,8.84,8.6,8.7,8.85,-0.15,-1.6949,1593274.48,1387756.083
6,601377.SH,20200817,8.25,8.92,8.25,8.85,8.11,0.74,9.1245,3241275.31,2818637.852
7,601377.SH,20200814,8.0,8.13,7.96,8.11,8.05,0.06,0.7453,580270.32,467427.503
8,601377.SH,20200813,8.09,8.18,7.97,8.05,8.04,0.01,0.1244,710313.93,573194.878
9,601377.SH,20200812,8.01,8.11,7.89,8.04,8.05,-0.01,-0.1242,874715.25,699801.608
10,601377.SH,20200811,8.35,8.48,8.02,8.05,8.33,-0.28,-3.3613,1202800.61,993383.946
11,601377.SH,20200810,8.31,8.49,8.2,8.33,8.39,-0.06,-0.7151,1179288.47,986237.36
12,601377.SH,20200807,8.56,8.68,8.29,8.39,8.77,-0.38,-4.333,1636864.06,1381413.472
13,601377.SH,20200806,8.57,8.82,8.3,8.77,8.56,0.21,2.4533,1686674.35,1438658.295
14,601377.SH,20200805,8.6,8.6,8.37,8.56,8.72,-0.16,-1.8349,1444587.58,1227002.182
15,601377.SH,20200804,8.45,9.12,8.3,8.72,8.38,0.34,4.0573,2887736.43,2523648.386
16,601377.SH,20200803,8.28,8.42,8.19,8.38,8.19,0.19,2.3199,1377556.76,1143900.114
17,601377.SH,20200731,8.06,8.38,8.03,8.19,8.08,0.11,1.3614,1351166.03,1109328.676
18,601377.SH,20200730,8.16,8.19,8.03,8.08,8.15,-0.07,-0.8589,918014.37,743122.679
19,601377.SH,20200729,7.77,8.2,7.77,8.15,7.85,0.3,3.8217,1457642.63,1174514.718
20,601377.SH,20200728,7.91,7.96,7.73,7.85,7.87,-0.02,-0.2541,827474.71,647997.085
21,601377.SH,20200727,7.89,7.95,7.57,7.87,7.87,0.0,0.0,1248363.51,974729.925
22,601377.SH,20200724,8.39,8.46,7.79,7.87,8.49,-0.62,-7.3027,1878264.26,1516875.64
23,601377.SH,20200723,8.35,8.57,8.23,8.49,8.57,-0.08,-0.9335,1535090.57,1289186.473
24,601377.SH,20200722,8.47,8.88,8.42,8.57,8.5,0.07,0.8235,2308888.26,1995346.549
25,601377.SH,20200721,8.61,8.63,8.36,8.5,8.63,-0.13,-1.5064,1579496.64,1338341.37
26,601377.SH,20200720,8.21,8.75,8.15,8.63,8.05,0.58,7.205,2778204.86,2345454.595
27,601377.SH,20200717,8.5,8.57,7.85,8.05,8.47,-0.42,-4.9587,2839023.03,2307960.386
28,601377.SH,20200716,8.86,9.17,8.31,8.47,8.89,-0.42,-4.7244,2890176.26,2543098.627
29,601377.SH,20200715,9.22,9.42,8.83,8.89,9.24,-0.35,-3.7879,3131441.2,2877257.404
30,601377.SH,20200714,9.47,9.63,8.95,9.24,9.8,-0.56,-5.7143,4419088.82,4119650.802
31,601377.SH,20200713,10.8,10.8,9.35,9.8,9.93,-0.13,-1.3092,6942766.14,6962817.885
32,601377.SH,20200710,9.93,9.93,9.93,9.93,9.03,0.9,9.9668,984600.37,977708.167
33,601377.SH,20200709,8.28,9.03,8.19,9.03,8.21,0.82,9.9878,2604393.97,2300484.557
34,601377.SH,20200708,7.89,8.48,7.88,8.21,7.91,0.3,3.7927,3806503.79,3104434.417
35,601377.SH,20200707,8.32,8.32,7.86,7.91,8.38,-0.47,-5.6086,3628548.54,2920573.166
36,601377.SH,20200706,8.0,8.45,7.87,8.38,7.69,0.69,8.9727,4335155.26,3551709.907
37,601377.SH,20200703,7.26,7.8,7.16,7.69,7.23,0.46,6.3624,3805999.78,2839354.04
38,601377.SH,20200702,6.75,7.36,6.71,7.23,6.84,0.39,5.7018,2735705.29,1935654.005
39,601377.SH,20200701,6.75,6.87,6.57,6.84,6.85,-0.01,-0.146,2101910.01,1416098.039
40,601377.SH,20200630,6.3,6.91,6.18,6.85,6.28,0.57,9.0764,2925207.16,1951535.737
41,601377.SH,20200629,6.14,6.54,5.97,6.28,6.15,0.13,2.1138,1581976.79,995544.302
42,601377.SH,20200624,6.21,6.3,6.13,6.15,6.19,-0.04,-0.6462,528031.17,327289.292
43,601377.SH,20200623,6.11,6.2,6.04,6.19,6.14,0.05,0.8143,693714.12,425111.507
44,601377.SH,20200622,5.94,6.35,5.9,6.14,5.9,0.24,4.0678,1339283.22,826578.913
